项目点表区域划分,,,,,,,,,,,,,,
分类,分组,序号,区域,区域,描述,开始M_ID,结束M_ID,开始M_ID（B）,结束M_ID（B）,开始相对id,结束相对id,总点量,配点初始点,初始16进制
,,,,,遥测点号,0x02002500,0x020025FF,33563904,33564159,9472,9727,256,33563935,200251F
,,,,,遥文点号,0x03000940,0x0300097F,50334016,50334079,2368,2431,64,50334023,3000947
,,10,备用,备用,遥信点号,0x01002600,0x010026FF,16786944,16787199,9728,9983,256,16786975,100261F
,,,,,遥测点号,0x02002600,0x020026FF,33564160,33564415,9728,9983,256,33564191,200261F
,,,,,遥文点号,0x03000980,0x030009BF,50334080,50334143,2432,2495,64,50334087,3000987
,,合计,,,遥信数量,2560,遥测数量,2560,遥文数量,640,,,,
,原煤转运,1,上料仓,上料仓1#,遥信点号,0x01002700,0x010027FF,16787200,16787455,9984,10239,256,16787231,100271F
,,,,,遥测点号,0x02002700,0x020027FF,33564416,33564671,9984,10239,256,33564447,200271F
,,,,,遥文点号,0x030009C0,0x030009FF,50334144,50334207,2496,2559,64,50334151,30009C7
,,2,上料仓,上料仓2#,遥信点号,0x01002800,0x010028FF,16787456,16787711,10240,10495,256,16787487,100281F
,,,,,遥测点号,0x02002800,0x020028FF,33564672,33564927,10240,10495,256,33564703,200281F
,,,,,遥文点号,0x03000A00,0x03000A3F,50334208,50334271,2560,2623,64,50334215,3000A07
,,3,上料仓,上料仓3#,遥信点号,0x01002900,0x010029FF,16787712,16787967,10496,10751,256,16787743,100291F
,,,,,遥测点号,0x02002900,0x020029FF,33564928,33565183,10496,10751,256,33564959,200291F
,,,,,遥文点号,0x03000A40,0x03000A7F,50334272,50334335,2624,2687,64,50334279,3000A47
,,4,缓存柜,缓存柜1#,遥信点号,0x01002A00,0x01002AFF,16787968,16788223,10752,11007,256,16787999,1002A1F
,,,,,遥测点号,0x02002A00,0x02002AFF,33565184,33565439,10752,11007,256,33565215,2002A1F
,,,,,遥文点号,0x03000A80,0x03000ABF,50334336,50334399,2688,2751,64,50334343,3000A87
,,5,缓存柜,缓存柜2#,遥信点号,0x01002B00,0x01002BFF,16788224,16788479,11008,11263,256,16788255,1002B1F
,,,,,遥测点号,0x02002B00,0x02002BFF,33565440,33565695,11008,11263,256,33565471,2002B1F
,,,,,遥文点号,0x03000AC0,0x03000AFF,50334400,50334463,2752,2815,64,50334407,3000AC7
,,6,缓存柜,缓存柜3#,遥信点号,0x01002C00,0x01002CFF,16788480,16788735,11264,11519,256,16788511,1002C1F
,,,,,遥测点号,0x02002C00,0x02002CFF,33565696,33565951,11264,11519,256,33565727,2002C1F
,,,,,遥文点号,0x03000B00,0x03000B3F,50334464,50334527,2816,2879,64,50334471,3000B07
,,7,卸料仓,卸料仓1#,遥信点号,0x01002D00,0x01002DFF,16788736,16788991,11520,11775,256,16788767,1002D1F
,,,,,遥测点号,0x02002D00,0x02002DFF,33565952,33566207,11520,11775,256,33565983,2002D1F
,,,,,遥文点号,0x03000B40,0x03000B7F,50334528,50334591,2880,2943,64,50334535,3000B47
,,8,卸料仓,卸料仓2#,遥信点号,0x01002E00,0x01002EFF,16788992,16789247,11776,12031,256,16789023,1002E1F
,,,,,遥测点号,0x02002E00,0x02002EFF,33566208,33566463,11776,12031,256,33566239,2002E1F
,,,,,遥文点号,0x03000B80,0x03000BBF,50334592,50334655,2944,3007,64,50334599,3000B87
,,9,卸料仓,卸料仓3#,遥信点号,0x01002F00,0x01002FFF,16789248,16789503,12032,12287,256,16789279,1002F1F
,,,,,遥测点号,0x02002F00,0x02002FFF,33566464,33566719,12032,12287,256,33566495,2002F1F
,,,,,遥文点号,0x03000BC0,0x03000BFF,50334656,50334719,3008,3071,64,50334663,3000BC7
,,10,备用,备用,遥信点号,0x01003000,0x010030FF,16789504,16789759,12288,12543,256,16789535,100301F
,,,,,遥测点号,0x02003000,0x020030FF,33566720,33566975,12288,12543,256,33566751,200301F
,,,,,遥文点号,0x03000C00,0x03000C3F,50334720,50334783,3072,3135,64,50334727,3000C07
,,11,备用,备用,遥信点号,0x01003100,0x010031FF,16789760,16790015,12544,12799,256,16789791,100311F
,,,,,遥测点号,0x02003100,0x020031FF,33566976,33567231,12544,12799,256,33567007,200311F
,,,,,遥文点号,0x03000C40,0x03000C7F,50334784,50334847,3136,3199,64,50334791,3000C47
,,12,备用,备用,遥信点号,0x01003200,0x010032FF,16790016,16790271,12800,13055,256,16790047,100321F
,,,,,遥测点号,0x02003200,0x020032FF,33567232,33567487,12800,13055,256,33567263,200321F
,,,,,遥文点号,0x03000C80,0x03000CBF,50334848,50334911,3200,3263,64,50334855,3000C87
,,合计,,,遥信数量,3072,遥测数量,3072,遥文数量,768,,,,
,制样机,1,制样机,制样机1#,遥信点号,0x01003300,0x010033FF,16790272,16790527,13056,13311,256,16790303,100331F
